keyword,intent,context_id,source_opportunity_id,priority_hint
best overdue invoices followed software,BOFU,blueprint::proj-opp-001-invoice-followup-pilot-v1,opp_001,0.0
overdue invoices followed pricing,BOFU,blueprint::proj-opp-001-invoice-followup-pilot-v1,opp_001,0.0
overdue invoices followed tool for freelancer small service owner,BOFU,blueprint::proj-opp-001-invoice-followup-pilot-v1,opp_001,0.0
overdue invoices followed vs manual,BOFU,blueprint::proj-opp-001-invoice-followup-pilot-v1,opp_001,0.0
manual csv overdue invoice checklist,MOFU,blueprint::proj-opp-001-invoice-followup-pilot-v1,opp_001,0.0
overdue invoices followed manually late because checklist,MOFU,blueprint::proj-opp-001-invoice-followup-pilot-v1,opp_001,0.0
overdue invoices followed manually late because template,MOFU,blueprint::proj-opp-001-invoice-followup-pilot-v1,opp_001,0.0
overdue invoices followed manually late because workflow,MOFU,blueprint::proj-opp-001-invoice-followup-pilot-v1,opp_001,0.0
overdue invoices followed playbook,MOFU,blueprint::proj-opp-001-invoice-followup-pilot-v1,opp_001,0.0
overdue invoices followed process,MOFU,blueprint::proj-opp-001-invoice-followup-pilot-v1,opp_001,0.0
turn overdue invoices daily action queue template,MOFU,blueprint::proj-opp-001-invoice-followup-pilot-v1,opp_001,0.0
how to overdue invoices followed manually late because,TOFU,blueprint::proj-opp-001-invoice-followup-pilot-v1,opp_001,0.0
how to turn overdue invoices daily action queue,TOFU,blueprint::proj-opp-001-invoice-followup-pilot-v1,opp_001,0.0
overdue invoices followed automation,TOFU,blueprint::proj-opp-001-invoice-followup-pilot-v1,opp_001,0.0
overdue invoices followed examples,TOFU,blueprint::proj-opp-001-invoice-followup-pilot-v1,opp_001,0.0
best overdue invoices followed software,BOFU,handoff::opp-001,,0.0
overdue invoices followed pricing,BOFU,handoff::opp-001,,0.0
overdue invoices followed tool for freelancer small service owner,BOFU,handoff::opp-001,,0.0
overdue invoices followed vs manual,BOFU,handoff::opp-001,,0.0
manual csv overdue invoice checklist,MOFU,handoff::opp-001,,0.0
overdue invoices followed manually late because checklist,MOFU,handoff::opp-001,,0.0
overdue invoices followed manually late because template,MOFU,handoff::opp-001,,0.0
overdue invoices followed manually late because workflow,MOFU,handoff::opp-001,,0.0
overdue invoices followed playbook,MOFU,handoff::opp-001,,0.0
overdue invoices followed process,MOFU,handoff::opp-001,,0.0
turn overdue invoices daily follow action template,MOFU,handoff::opp-001,,0.0
how to overdue invoices followed manually late because,TOFU,handoff::opp-001,,0.0
how to turn overdue invoices daily follow action,TOFU,handoff::opp-001,,0.0
overdue invoices followed automation,TOFU,handoff::opp-001,,0.0
overdue invoices followed examples,TOFU,handoff::opp-001,,0.0
best overdue invoices followed software,BOFU,landing::opp_001,opp_001,0.0
overdue invoices followed pricing,BOFU,landing::opp_001,opp_001,0.0
overdue invoices followed tool for freelancer small service owner,BOFU,landing::opp_001,opp_001,0.0
overdue invoices followed vs manual,BOFU,landing::opp_001,opp_001,0.0
overdue invoices followed manually late because checklist,MOFU,landing::opp_001,opp_001,0.0
overdue invoices followed manually late because template,MOFU,landing::opp_001,opp_001,0.0
overdue invoices followed manually late because workflow,MOFU,landing::opp_001,opp_001,0.0
overdue invoices followed playbook,MOFU,landing::opp_001,opp_001,0.0
overdue invoices followed process,MOFU,landing::opp_001,opp_001,0.0
prioritize overdue invoices value checklist,MOFU,landing::opp_001,opp_001,0.0
turn overdue invoices daily follow action template,MOFU,landing::opp_001,opp_001,0.0
how to overdue invoices followed manually late because,TOFU,landing::opp_001,opp_001,0.0
how to turn overdue invoices daily follow action,TOFU,landing::opp_001,opp_001,0.0
overdue invoices followed automation,TOFU,landing::opp_001,opp_001,0.0
overdue invoices followed examples,TOFU,landing::opp_001,opp_001,0.0
best overdue invoices followed software,BOFU,opportunity::opp_001,opp_001,1.894
overdue invoices followed pricing,BOFU,opportunity::opp_001,opp_001,1.894
overdue invoices followed tool for freelancer small service owner,BOFU,opportunity::opp_001,opp_001,1.894
overdue invoices followed vs manual,BOFU,opportunity::opp_001,opp_001,1.894
283 apps listed feature checklist,MOFU,opportunity::opp_001,opp_001,1.894
manual reminders via personal email inconsistent template,MOFU,opportunity::opp_001,opp_001,1.894
overdue invoices followed manually late because checklist,MOFU,opportunity::opp_001,opp_001,1.894
overdue invoices followed manually late because template,MOFU,opportunity::opp_001,opp_001,1.894
overdue invoices followed manually late because workflow,MOFU,opportunity::opp_001,opp_001,1.894
overdue invoices followed playbook,MOFU,opportunity::opp_001,opp_001,1.894
overdue invoices followed process,MOFU,opportunity::opp_001,opp_001,1.894
how to manual reminders via personal email inconsistent,TOFU,opportunity::opp_001,opp_001,1.894
how to overdue invoices followed manually late because,TOFU,opportunity::opp_001,opp_001,1.894
overdue invoices followed automation,TOFU,opportunity::opp_001,opp_001,1.894
overdue invoices followed examples,TOFU,opportunity::opp_001,opp_001,1.894
best chargeback handling manual software,BOFU,opportunity::opp_002,opp_002,1.894
chargeback handling manual pricing,BOFU,opportunity::opp_002,opp_002,1.894
chargeback handling manual tool for ecommerce owner operations manager,BOFU,opportunity::opp_002,opp_002,1.894
chargeback handling manual vs automated workflow,BOFU,opportunity::opp_002,opp_002,1.894
blocker bot blocker fraud checklist,MOFU,opportunity::opp_002,opp_002,1.894
chargeback handling manual playbook,MOFU,opportunity::opp_002,opp_002,1.894
chargeback handling manual process,MOFU,opportunity::opp_002,opp_002,1.894
chargeback handling manual time consuming causes checklist,MOFU,opportunity::opp_002,opp_002,1.894
chargeback handling manual time consuming causes template,MOFU,opportunity::opp_002,opp_002,1.894
chargeback handling manual time consuming causes workflow,MOFU,opportunity::opp_002,opp_002,1.894
manual evidence gathering order systems customer template,MOFU,opportunity::opp_002,opp_002,1.894
chargeback handling manual automation,TOFU,opportunity::opp_002,opp_002,1.894
chargeback handling manual examples,TOFU,opportunity::opp_002,opp_002,1.894
how to chargeback handling manual time consuming causes,TOFU,opportunity::opp_002,opp_002,1.894
how to manual evidence gathering order systems customer,TOFU,opportunity::opp_002,opp_002,1.894
